any,cnae,branca,marge_vendes_pct,font,verificat
2023,473,Combustible (gasolineres),3.6,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,473,Combustible (gasolineres),4.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,474,Equips TIC,5.7,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,474,Equips TIC,6.1,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,474,Equips TIC,3.9,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,474,Equips TIC,4.2,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,474,Equips TIC,4.8,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,474,Equips TIC,4.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,474,Equips TIC,4.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,475,Equipament de la llar,6.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,475,Equipament de la llar,5.9,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,475,Equipament de la llar,6.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,475,Equipament de la llar,7.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,475,Equipament de la llar,7.2,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,475,Equipament de la llar,7.1,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,475,Equipament de la llar,7.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,476,Articles culturals i recreatius,7.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,476,Articles culturals i recreatius,7.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,476,Articles culturals i recreatius,7.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,476,Articles culturals i recreatius,7.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,476,Articles culturals i recreatius,7.1,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,476,Articles culturals i recreatius,7.8,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,476,Articles culturals i recreatius,7.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,477,"Altres articles (moda, calçat, etc.)",10.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,477,"Altres articles (moda, calçat, etc.)",10.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,477,"Altres articles (moda, calçat, etc.)",9.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,477,"Altres articles (moda, calçat, etc.)",12.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,477,"Altres articles (moda, calçat, etc.)",11.2,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,477,"Altres articles (moda, calçat, etc.)",11.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,477,"Altres articles (moda, calçat, etc.)",11.8,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,479,Comerç no en establiment (internet),5.2,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,479,Comerç no en establiment (internet),5.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,479,Comerç no en establiment (internet),4.5,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,479,Comerç no en establiment (internet),4.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,479,Comerç no en establiment (internet),4.1,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,479,Comerç no en establiment (internet),4.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,479,Comerç no en establiment (internet),5.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
